"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"LDOS","Leidos Holdings, Inc.","88.49","$12.58B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/ldos",
"LEJU","Leju Holdings Limited","2.15","$292.34M","2014","Finance","Real Estate","https://old.nasdaq.com/symbol/leju",
"LMND","Lemonade, Inc.","47.27","$2.67B","2020","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/lmnd",
"LC","LendingClub Corporation","5.29","$378.32M","2014","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/lc",
"LEN","Lennar Corporation","73.62","$22.99B","n/a","Basic Industries","Homebuilding","https://old.nasdaq.com/symbol/len",
"LEN.B","Lennar Corporation","n/a","n/a","n/a","Basic Industries","Homebuilding","https://old.nasdaq.com/symbol/len.b",
"LII","Lennox International, Inc.","277.53","$10.62B","1999","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/lii",
"LEVI","Levi Strauss & Co","12.42","$4.93B","2019","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/levi",
"LXP","Lexington Realty Trust","11.27","$3.12B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/lxp",
"LXP^C","Lexington Realty Trust","58","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/lxp^c",
"LPL","LG Display Co., Ltd.","6.24","$4.47B","2004","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/lpl",
"DFNS","LGL Systems Acquisition Corp.","10","$215.63M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/dfns",
"DFNS.U","LGL Systems Acquisition Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/dfns.u",
"DFNS.WS","LGL Systems Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dfns.ws",
"USA","Liberty All-Star Equity Fund","6.03","$1.28B","1986","n/a","n/a","https://old.nasdaq.com/symbol/usa",
"ASG","Liberty All-Star Growth Fund, Inc.","7.12","$296.49M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/asg",
"LBRT","Liberty Oilfield Services Inc.","8.67","$979.14M","2018","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/lbrt",
"LSI","Life Storage, Inc.","107.7","$5.05B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/lsi",
"LITB","LightInTheBox Holding Co., Ltd.","2.1","$234.73M","2013","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/litb",
"LNC","Lincoln National Corporation","38.22","$7.39B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/lnc",
"LIN","Linde plc","247.7","$130.13B","2018","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/lin",
"LNN","Lindsay Corporation","99.42","$1.08B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/lnn",
"LN","LINE Corporation","50.75","$12.26B","2016","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/ln",
"LINX","Linx S.A.","6.72","$1.18B","2019","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/linx",
"LGF.A","Lions Gate Entertainment Corporation","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/lgf.a",
"LGF.B","Lions Gate Entertainment Corporation","n/a","n/a","2016","n/a","n/a","https://old.nasdaq.com/symbol/lgf.b",
"LAD","Lithia Motors, Inc.","243.11","$5.55B","n/a","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/lad",
"LAC","Lithium Americas Corp.","7.28","$659.88M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/lac",
"LYV","Live Nation Entertainment, Inc.","57.58","$12.51B","n/a","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/lyv",
"LOAK","Live Oak Acquisition Corp.","9.95","$256.21M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/loak",
"LOAK.U","Live Oak Acquisition Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/loak.u",
"LOAK.WS","Live Oak Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/loak.ws",
"LTHM","Livent Corporation","8.65","$1.27B","2018","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/lthm",
"RAMP","LiveRamp Holdings, Inc.","51.29","$3.38B","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/ramp",
"LYG","Lloyds Banking Group Plc","1.39","$24.6B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/lyg",
"SCD","LMP Capital and Income Fund Inc.","10.85","$195.12M","2004","n/a","n/a","https://old.nasdaq.com/symbol/scd",
"LMT","Lockheed Martin Corporation","385.02","$107.63B","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/lmt",
"L","Loews Corporation","36.87","$10.34B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/l",
"LOMA","Loma Negra Compania Industrial Argentina Sociedad Anonima","4.81","$573.35M","2017","Capital Goods","Building Materials","https://old.nasdaq.com/symbol/loma",
"LGVW","Longview Acquisition Corp.","9.95","$514.91M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/lgvw",
"LGVW.U","Longview Acquisition Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/lgvw.u",
"LGVW.WS","Longview Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/lgvw.ws",
"LPX","Louisiana-Pacific Corporation","31.64","$3.55B","n/a","Basic Industries","Forest Products","https://old.nasdaq.com/symbol/lpx",
"LOW","Lowe&#39;s Companies, Inc.","156.39","$118.19B","n/a","Consumer Services","RETAIL: Building Materials","https://old.nasdaq.com/symbol/low",
"LXU","Lsb Industries Inc.","2.14","$62.74M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/lxu",
"LTC","LTC Properties, Inc.","37.29","$1.46B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ltc",
"LUB","Luby&#39;s, Inc.","1.05","$32.16M","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/lub",
"LL","Lumber Liquidators Holdings, Inc","20.53","$592.35M","2007","Consumer Services","RETAIL: Building Materials","https://old.nasdaq.com/symbol/ll",
"LXFR","Luxfer Holdings PLC","14.49","$400.15M","2012","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/lxfr",
"LDL","Lydall, Inc.","18.84","$334.61M","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/ldl",
"LYB","LyondellBasell Industries NV","72.06","$24.06B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/lyb",
"MTB","M&T Bank Corporation","105.9","$13.58B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/mtb",
"MDC","M.D.C. Holdings, Inc.","42.31","$2.68B","n/a","Capital Goods","Homebuilding","https://old.nasdaq.com/symbol/mdc",
"MHO","M/I Homes, Inc.","41.59","$1.19B","1993","Capital Goods","Homebuilding","https://old.nasdaq.com/symbol/mho",
"MAC","Macerich Company (The)","8.27","$1.24B","1994","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/mac",
"CLI","Mack-Cali Realty Corporation","13.23","$1.2B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cli",
"MFD","Macquarie First Trust Global","7.81","$66.76M","2004","n/a","n/a","https://old.nasdaq.com/symbol/mfd",
"MGU","Macquarie Global Infrastructure Total Return Fund Inc.","18.14","$226.17M","2005","n/a","n/a","https://old.nasdaq.com/symbol/mgu",
"MIC","Macquarie Infrastructure Corporation ","27.61","$2.4B","2004","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/mic",
"BMA","Macro Bank Inc.","18.93","$1.21B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/bma",
"M","Macy&#39;s Inc","7.65","$2.37B","n/a","Consumer Services","Department/Specialty Retail Stores","https://old.nasdaq.com/symbol/m",
"MCN","Madison Covered Call & Equity Strategy Fund","5.93","$124.22M","2004","n/a","n/a","https://old.nasdaq.com/symbol/mcn",
"MSGE","Madison Square Garden Entertainment Corp.","78.74","$1.89B","2020","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/msge",
"MSGS","Madison Square Garden Sports Corp.","166.44","$3.99B","2015","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/msgs",
"MMP","Magellan Midstream Partners L.P.","37.64","$8.47B","n/a","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/mmp",
"MGA","Magna International, Inc.","48.75","$14.56B","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/mga",
"MX","MagnaChip Semiconductor Corporation","13.01","$457.43M","2011","Technology","Semiconductors","https://old.nasdaq.com/symbol/mx",
"MGY","Magnolia Oil & Gas Corporation","6.1","$1.54B","2017","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mgy",
"MH^A","Maiden Holdings, Ltd.","9.1","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mh^a",
"MH^C","Maiden Holdings, Ltd.","8.75","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mh^c",
"MH^D","Maiden Holdings, Ltd.","8.94","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mh^d",
"MHLA","Maiden Holdings, Ltd.","19.45","n/a","2016","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/mhla",
"MHNC","Maiden Holdings, Ltd.","21.98","n/a","2013","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/mhnc",
"MAIN","Main Street Capital Corporation","29.8","$1.96B","2007","n/a","n/a","https://old.nasdaq.com/symbol/main",
"MMD","MainStay MacKay DefinedTerm Municipal Opportunitie","20.7","$571.36M","2012","n/a","n/a","https://old.nasdaq.com/symbol/mmd",
"MNK","Mallinckrodt plc","1.48","$125.19M","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mnk",
"MANU","Manchester United Ltd.","15.13","$2.49B","2012","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/manu",
"MTW","Manitowoc Company, Inc. (The)","9.53","$328.99M","n/a","Capital Goods","Construction/Ag Equipment/Trucks","https://old.nasdaq.com/symbol/mtw",
"MN","Manning & Napier, Inc.","4.29","$69.82M","2011","Finance","Investment Managers","https://old.nasdaq.com/symbol/mn",
"MAN","ManpowerGroup","73.3","$4.26B","n/a","Technology","Professional Services","https://old.nasdaq.com/symbol/man",
"MFC","Manulife Financial Corp","14.67","$28.45B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/mfc",
"MRO","Marathon Oil Corporation","4.93","$3.89B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mro",
"MPC","Marathon Petroleum Corporation","33.64","$21.89B","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/mpc",
"MMI","Marcus & Millichap, Inc.","29.2","$1.15B","2013","Finance","Real Estate","https://old.nasdaq.com/symbol/mmi",
"MCS","Marcus Corporation (The)","16.04","$498.21M","n/a","Consumer Services","Movies/Entertainment","https://old.nasdaq.com/symbol/mcs",
"MPX","Marine Products Corporation","14.59","$495.61M","n/a","Capital Goods","Marine Transportation","https://old.nasdaq.com/symbol/mpx",
"HZO","MarineMax, Inc.","25.84","$558.87M","1998","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/hzo",
"MKL","Markel Corporation","1068.62","$14.72B","1986","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/mkl",
"VAC","Marriott Vacations Worldwide Corporation","95.48","$3.92B","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/vac",
"MMC","Marsh & McLennan Companies, Inc.","115.41","$58.46B","n/a","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/mmc",
"MLM","Martin Marietta Materials, Inc.","215.11","$13.39B","1994","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/mlm",
"MAS","Masco Corporation","56.42","$14.76B","n/a","Capital Goods","Industrial Specialties","https://old.nasdaq.com/symbol/mas",
"DOOR","Masonite International Corporation","91.94","$2.25B","n/a","Basic Industries","Forest Products","https://old.nasdaq.com/symbol/door",
"MTZ","MasTec, Inc.","44.93","$3.32B","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/mtz",
"MA","Mastercard Incorporated","335.01","$335.37B","2006","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ma",
"MTDR","Matador Resources Company","9.51","$1.11B","2012","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mtdr",
"MTRN","Materion Corporation","52.79","$1.07B","n/a","Capital Goods","Industrial Specialties","https://old.nasdaq.com/symbol/mtrn",
"MATX","Matson, Inc.","40.27","$1.73B","n/a","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/matx",
"MLP","Maui Land & Pineapple Company, Inc.","11.23","$217.51M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/mlp",
"MAXR","Maxar Technologies Inc.","23.66","$1.44B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/maxr",
"MMS","Maximus, Inc.","75.25","$4.61B","1997","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/mms",
"MXL","MaxLinear, Inc","22.56","$1.65B","2010","Technology","Semiconductors","https://old.nasdaq.com/symbol/mxl",
"MEC","Mayville Engineering Company, Inc.","8.84","$177.33M","2019","Capital Goods","Industrial Specialties","https://old.nasdaq.com/symbol/mec",
"MBI","MBIA, Inc.","8.18","$472.41M","1987","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/mbi",
"MKC","McCormick & Company, Incorporated","201.85","$26.89B","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/mkc",
"MKC.V","McCormick & Company, Incorporated","n/a","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/mkc.v",
"MCD","McDonald&#39;s Corporation","211.73","$157.55B","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/mcd",
"MUX","McEwen Mining Inc.","1.25","$503.11M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/mux",
"MCK","McKesson Corporation","152.43","$24.72B","n/a","Health Care","Other Pharmaceuticals","https://old.nasdaq.com/symbol/mck",
"MDU","MDU Resources Group, Inc.","24.24","$4.86B","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/mdu",
"MTL","Mechel PAO","1.6","$443.21M","2004","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/mtl",
"MTL^","Mechel PAO","0.4825","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mtl^",
"MDLA","Medallia, Inc.","31.35","$4.42B","2019","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/mdla",
"MPW","Medical Properties Trust, Inc.","18.4","$9.73B","2005","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/mpw",
"MED","MEDIFAST INC","160.44","$1.89B","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/med",
"MCC","Medley Capital Corporation","15.911","$43.34M","2011","n/a","n/a","https://old.nasdaq.com/symbol/mcc",
"MCV","Medley Capital Corporation","21.9999","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mcv",
"MCX","Medley Capital Corporation","24.4","n/a","2015","n/a","n/a","https://old.nasdaq.com/symbol/mcx",
"MDLQ","Medley LLC","5.54","n/a","2017","Finance","Investment Managers","https://old.nasdaq.com/symbol/mdlq",
"MDLX","Medley LLC","5.12","n/a","2016","Finance","Investment Managers","https://old.nasdaq.com/symbol/mdlx",
"MDLY","Medley Management Inc.","0.6501","$21.25M","2014","Finance","Investment Managers","https://old.nasdaq.com/symbol/mdly",
"MD","Mednax, Inc","17.76","$1.52B","n/a","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/md",
"MDT","Medtronic plc","105.74","$142.04B","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/mdt",
"MFAC","Megalith Financial Acquisition Corp.","10.28","$76.35M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/mfac",
"MFAC.U","Megalith Financial Acquisition Corp.","n/a","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/mfac.u",
"MFAC.WS","Megalith Financial Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mfac.ws",
"MRK","Merck & Company, Inc.","85.24","$215.59B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mrk",
"MCY","Mercury General Corporation","44.97","$2.49B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/mcy",
"MDP","Meredith Corporation","14.08","$639.56M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/mdp",
"MTH","Meritage Corporation","93.3","$3.51B","n/a","Capital Goods","Homebuilding","https://old.nasdaq.com/symbol/mth",
"MTOR","Meritor, Inc.","23.32","$1.69B","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/mtor",
"MER^K","Merrill Lynch & Co., Inc.","26.92","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mer^k",
"MTR","Mesa Royalty Trust","4.15","$7.73M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mtr",
"MSB","Mesabi Trust","20.48","$268.7M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/msb",
"MEI","Methode Electronics, Inc.","29.62","$1.11B","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/mei",
"MET","MetLife, Inc.","39.15","$35.53B","2000","Finance","Life Insurance","https://old.nasdaq.com/symbol/met",
"MET^A","MetLife, Inc.","24.4","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/met^a",
"MET^E","MetLife, Inc.","27.34","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/met^e",
"MET^F","MetLife, Inc.","26.09","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/met^f",
"MCB","Metropolitan Bank Holding Corp.","31.11","$258.02M","2017","Finance","Major Banks","https://old.nasdaq.com/symbol/mcb",
"MTD","Mettler-Toledo International, Inc.","949.26","$22.75B","1997","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/mtd",
"MXE","Mexico Equity and Income Fund, Inc. (The)","8.19","$42.36M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mxe",
"MXF","Mexico Fund, Inc. (The)","10.26","$153.95M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mxf",
"MFA","MFA Financial, Inc.","2.7","$1.22B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/mfa",
"MFA^B","MFA Financial, Inc.","21.72","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mfa^b",
"MFA^C","MFA Financial, Inc.","18.75","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mfa^c",
"MFO","MFA Financial, Inc.","23.831","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/mfo",
"MCR","MFS Charter Income Trust","8.57","$379.78M","1989","n/a","n/a","https://old.nasdaq.com/symbol/mcr",
"MGF","MFS Government Markets Income Trust","4.65","$151.53M","1987","n/a","n/a","https://old.nasdaq.com/symbol/mgf",
"MIN","MFS Intermediate Income Trust","3.86","$447.49M","1988","n/a","n/a","https://old.nasdaq.com/symbol/min",
"MMT","MFS Multimarket Income Trust","5.98","$366.78M","1987","n/a","n/a","https://old.nasdaq.com/symbol/mmt",
"MFM","MFS Municipal Income Trust","6.42","$264.42M","1986","n/a","n/a","https://old.nasdaq.com/symbol/mfm",
"MFV","MFS Special Value Trust","5.3748","$38.78M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mfv",
"MTG","MGIC Investment Corporation","9.44","$3.2B","1991","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/mtg",
"MGP","MGM Growth Properties LLC","28.55","$8.66B","2016","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/mgp",
"MGM","MGM Resorts International","23.52","$11.6B","n/a","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/mgm",
"MFGP","Micro Focus Intl PLC","3.87","$1.3B","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/mfgp",
